,Price,Local,Surface,Bathroom,Floor
163,€ 430.000,2 ,68,1 ,3
165,€ 230.000,3 ,105,2 ,2
166,€ 350.000,4 ,130,2 ,2
167,€ 79.000,2 ,58,1 ,1
168,€ 1.250.000,5+ ,245,3+ ,Ultimo
170,€ 539.000,5+ ,180,2 ,1
171,€ 630.000,3 ,124,2 ,Piano rialzato
172,€ 720.000,4 ,185,2 ,Ultimo
173,€ 525.000,3 ,131,2 ,5
174,€ 820.000,5+ ,260,3 ,3
175,€ 1.500.000,5+ ,220,2 ,5
177,€ 495.000,5 ,130,2 ,3
178,€ 3.950.000,5+ ,362,3 ,3
179,€ 790.000,5+ ,160,1 ,1
180,€ 650.000,5+ ,130,2 ,2
181,€ 1.290.000,4 ,120,3 ,4
182,€ 150.000,3 ,65,2 ,Ultimo
183,€ 175.000,3 ,122,2 ,1
184,€ 415.000,3 ,75,1 ,2
185,€ 980.000,4 ,243,3 ,2
187,€ 620.000,4 ,130,2 ,1
188,€ 449.000,3 ,126,1 ,6
189,€ 240.000,2 ,70,1 ,5
191,€ 890.000,5 ,150,2 ,1
192,€ 2.950.000,5+ ,540,3+ ,Piano rialzato
193,€ 1.065.000,4 ,280,3 ,4
194,€ 440.000,5 ,160,2 ,2
195,€ 450.000,5 ,180,2 ,Piano terra
196,€ 900.000,5+ ,175,3 ,3
197,€ 790.000,5+ ,250,3 ,2
198,€ 360.000,3 ,90,1 ,3
199,€ 125.000,2 ,70,1 ,3
201,€ 139.000,4 ,100,3 ,3
203,€ 325.000,3 ,110,2 ,2
204,€ 1.500.000,5+ ,314,3 ,6
205,€ 590.000,4 ,166,2 ,Piano rialzato
206,€ 1.990.000,5+ ,370,3 ,3
207,€ 1.650.000,5+ ,165,3 ,3
208,€ 750.000,4 ,163,2 ,2
209,€ 139.000,4 ,100,3 ,3
210,€ 695.000,4 ,167,2 ,Ultimo
212,€ 855.000,5 ,182,3 ,1
213,€ 520.000,2 ,79,1 ,3
214,€ 450.000,5+ ,140,2 ,2
215,€ 490.000,5+ ,140,2 ,1
216,€ 560.000,2 ,60,2 ,4
217,€ 350.000,2 ,85,1 ,3
218,€ 690.000,5 ,150,2 ,Piano rialzato
219,€ 630.000,5 ,147,2 ,Piano rialzato
220,€ 230.000,2 ,75,1 ,8
221,€ 515.000,4 ,150,2 ,1
222,€ 710.000,5+ ,170,1 ,1
223,€ 1.145.000,5+ ,210,3 ,6
225,€ 775.000,5+ ,160,3+ ,4
226,€ 190.000,3 ,85,1 ,5
227,€ 2.100.000,5+ ,270,3 ,2
228,€ 339.000,4 ,120,2 ,1
229,€ 320.000,3 ,110,2 ,1
230,€ 830.000,5+ ,168,2 ,4
231,€ 320.000,5 ,135,1 ,Piano terra
232,€ 219.000,4 ,120,1 ,Piano rialzato
234,€ 680.000,1 ,125,1 ,Piano terra
235,€ 239.000,2 ,52,1 ,1
237,€ 384.000,4 ,125,2 ,1
238,€ 790.000,5 ,168,3 ,4
239,€ 470.000,5 ,110,2 ,4
240,€ 449.000,2 ,93,1 ,3
241,€ 295.000,5 ,140,2 ,3
242,€ 860.000,5 ,250,2 ,4
243,€ 490.000,2 ,82,1 ,4
244,€ 790.000,4 ,92,2 ,2
245,€ 139.000,4 ,120,3 ,Piano terra
246,€ 148.000,2 ,49,1 ,7
248,€ 300.000,3 ,98,1 ,Piano terra
249,€ 1.380.000,5+ ,220,3 ,5
250,€ 320.000,2 ,68,1 ,Ultimo
251,€ 210.000,3 ,79,1 ,Seminterrato
252,€ 880.000,3 ,119,2 ,1
253,€ 195.000,2 ,31,1 ,Piano terra
254,€ 185.000,2 ,73,1 ,1
255,€ 740.000,5 ,217,3 ,2
256,€ 720.000,3 ,115,2 ,4
258,€ 1.080.000,5 ,160,3 ,1
259,€ 179.000,2 ,67,1 ,1
260,€ 390.000,5 ,133,2 ,1
261,€ 610.000,5 ,156,2 ,1
262,€ 420.000,4 ,109,2 ,1
264,€ 279.000,4 ,104,2 ,1
265,€ 560.000,5 ,250,3+ ,Piano terra
266,€ 365.000,3 ,95,2 ,1
267,€ 495.000,4 ,173,3 ,4
269,€ 239.000,2 ,80,1 ,Piano terra
270,€ 890.000,5+ ,195,3 ,3
271,€ 339.000,4 ,100,1 ,Ultimo
272,€ 229.000,3 ,54,1 ,1
273,€ 395.000,5+ ,200,2 ,2
274,€ 235.000,3 ,85,1 ,Piano terra
275,€ 549.000,3 ,115,1 ,2
276,€ 495.000,5 ,145,2 ,Ultimo
277,€ 795.000,5+ ,218,3 ,4
278,€ 1.190.000,5+ ,179,2 ,1
279,€ 439.000,3 ,72,1 ,4
280,€ 849.000,5 ,208,3 ,3
281,€ 189.000,2 ,50,1 ,Ultimo
283,€ 219.000,2 ,60,1 ,3
284,€ 185.000,3 ,110,2 ,Ultimo
286,€ 398.000,4 ,90,2 ,Piano rialzato
290,€ 990.000,5+ ,284,3+ ,5
291,€ 4.050.000,5+ ,750,3 ,1
292,€ 370.000,5 ,111,2 ,1
293,€ 1.560.000,5+ ,297,2 ,4
294,€ 660.000,3 ,104,2 ,2
295,€ 315.000,2 ,35,1 ,Piano terra
296,€ 1.280.000,5+ ,166,1 ,1
298,€ 1.290.000,5+ ,270,3 ,2
299,€ 549.000,5 ,132,2 ,4
300,€ 599.000,5 ,140,2 ,Ultimo
301,€ 1.300.000,4 ,160,3 ,5
302,€ 1.090.000,5+ ,231,3 ,3
304,€ 245.000,3 ,70,1 ,1
305,€ 590.000,4 ,80,1 ,3
306,€ 1.490.000,5+ ,225,3 ,5
307,€ 1.060.000,5 ,162,2 ,Ultimo
308,€ 210.000,4 ,116,2 ,Piano rialzato
309,€ 569.000,4 ,150,3 ,1
310,€ 580.000,5 ,76,1 ,2
311,€ 590.000,5 ,152,3 ,2
312,€ 345.000,3 ,49,1 ,2
313,€ 1.490.000,5+ ,250,3+ ,3
315,€ 1.390.000,5+ ,180,3+ ,Ultimo
316,€ 899.000,5+ ,186,3 ,4
317,€ 200.000,2 ,60,1 ,3
318,€ 1.100.000,3 ,150,2 ,2
319,€ 2.570.000,5 ,210,2 ,3
320,€ 970.000,5 ,239,3 ,Piano terra
321,€ 890.000,2 ,70,1 ,3
322,€ 390.000,3 ,110,2 ,Piano terra
323,€ 645.000,3 ,100,1 ,3
324,€ 795.000,5 ,160,2 ,Piano terra
325,€ 680.000,3 ,90,2 ,3
326,€ 870.000,5+ ,190,3 ,Ultimo
328,€ 599.000,5+ ,150,2 ,3
329,€ 189.000,2 ,55,1 ,Piano rialzato
330,€ 1.250.000,5 ,290,3+ ,2
331,€ 1.390.000,5+ ,281,3 ,4
332,€ 1.590.000,5 ,225,3+ ,2
333,€ 1.120.000,5+ ,241,3+ ,3
334,€ 730.000,5+ ,165,3 ,4
