,Price,Local,Surface,Bathroom,Floor
1813,€ 349.000,4 ,111,2 ,1
1814,€ 950.000,5+ ,180,2 ,Ultimo
1815,€ 630.000,4 ,110,2 ,1
1816,€ 450.000,2 ,70,1 ,Piano rialzato
1817,€ 180.000,2 ,70,1 ,3
1818,€ 319.000,3 ,75,2 ,1
1819,€ 530.000,3 ,121,2 ,2
1820,€ 285.000,3 ,90,2 ,1
1821,€ 144.000,2 ,40,1 ,Piano terra
1822,€ 340.000,4 ,180,3 ,1
1823,€ 640.000,5 ,165,3 ,1
1824,€ 425.000,4 ,125,2 ,7
1825,€ 350.000,3 ,113,1 ,1
1826,€ 619.000,5 ,150,3+ ,1
1827,€ 265.000,2 ,65,1 ,8
1828,€ 389.000,3 ,90,1 ,1
1829,€ 615.000,4 ,155,2 ,4
1830,€ 199.000,2 ,80,1 ,2
1831,€ 450.000,4 ,105,2 ,3
1832,€ 165.000,4 ,90,2 ,2
1833,€ 364.000,4 ,120,1 ,3
1834,€ 349.000,3 ,100,1 ,1
1835,€ 790.000,4 ,164,2 ,3
1836,€ 353.000,4 ,125,2 ,4
1837,€ 330.000,3 ,85,2 ,1
1838,€ 169.000,3 ,80,2 ,Piano rialzato
1839,€ 349.000,3 ,100,2 ,1
1840,€ 1.550.000,5+ ,186,3 ,1
1841,€ 995.000,5+ ,290,2 ,Piano rialzato
1842,€ 105.000,2 ,40,1 ,Piano terra
1843,€ 530.000,5 ,190,2 ,3
1844,€ 235.000,3 ,80,2 ,Piano terra
1845,€ 697.000,5+ ,208,3 ,4
1846,€ 370.000,3 ,80,2 ,4
1847,€ 259.000,3 ,90,1 ,Piano terra
1848,€ 405.000,3 ,90,2 ,Ultimo
1849,€ 225.000,2 ,55,1 ,4
1850,€ 175.000,3 ,80,1 ,5
1851,€ 1.750.000,5 ,160,1 ,1
1852,€ 250.000,2 ,70,1 ,1
1853,€ 260.000,2 ,60,1 ,1
1854,€ 730.000,5+ ,240,3 ,3
1855,€ 199.000,4 ,120,1 ,1
1857,€ 525.000,5 ,122,2 ,3
1859,€ 125.000,2 ,65,1 ,Piano rialzato
1860,€ 980.000,5+ ,230,3 ,2
1861,€ 790.000,5+ ,180,3 ,1
1862,€ 125.000,2 ,86,1 ,Piano terra
1863,€ 219.000,3 ,110,1 ,1
1864,€ 192.000,4 ,90,2 ,Piano terra
1865,€ 235.000,2 ,70,1 ,5
1866,€ 175.000,2 ,60,1 ,6
1867,€ 335.000,3 ,80,1 ,7
1868,€ 395.000,4 ,120,2 ,2
1869,€ 175.000,2 ,50,1 ,7
1870,€ 849.000,4 ,160,2 ,1
1872,€ 599.000,5 ,160,3 ,2
1873,€ 1.190.000,5+ ,242,2 ,3
1874,€ 399.000,4 ,135,2 ,Ultimo
1875,€ 160.000,2 ,62,1 ,3
1876,€ 450.000,4 ,148,2 ,Piano terra
1877,€ 790.000,5+ ,200,2 ,Piano terra
1878,€ 249.000,1 ,40,1 ,5
1879,€ 290.000,3 ,85,1 ,3
1881,€ 250.000,3 ,94,1 ,Piano rialzato
1882,€ 780.000,5 ,180,3+ ,Ultimo
1883,PREZZO SU RICHIESTA,5+ ,285,3 ,Ultimo
1884,€ 169.000,3 ,105,1 ,Piano rialzato
1885,€ 449.000,4 ,136,1 ,4
1886,€ 499.000,4 ,135,3 ,4
1887,€ 118.000,1 ,30,1 ,1
1889,€ 1.600.000,5+ ,300,2 ,2
1890,€ 550.000,4 ,140,1 ,Piano terra
1891,€ 210.000,2 ,50,1 ,2
1892,€ 620.000,5+ ,180,2 ,4
1893,€ 215.000,3 ,100,1 ,2
1894,€ 370.000,4 ,105,2 ,2
1895,€ 200.000,2 ,70,1 ,1
1896,€ 219.000,2 ,60,1 ,3
1897,€ 235.000,3 ,88,1 ,2
1898,€ 195.000,2 ,59,1 ,2
1899,€ 540.000,5 ,149,3 ,Ultimo
1900,€ 630.000,4 ,130,2 ,3
1901,€ 390.000,3 ,120,2 ,1
1902,€ 319.000,3 ,100,1 ,1
1903,€ 210.000,3 ,75,1 ,5
1904,€ 290.000,3 ,85,3 ,4
1905,€ 580.000,5 ,145,2 ,3
1906,€ 385.000,4 ,119,2 ,1
1907,€ 80.000,2 ,40,1 ,Piano terra
1908,€ 209.000,3 ,92,2 ,7
1909,€ 175.000,1 ,50,1 ,2
1911,€ 279.000,3 ,85,1 ,Piano terra
1912,€ 700.000,5 ,125,2 ,2
1914,€ 815.000,4 ,120,1 ,2
1916,€ 230.000,3 ,60,1 ,Ultimo
1917,€ 370.000,3 ,84,1 ,5
1918,€ 225.000,2 ,89,2 ,1
1919,€ 429.000,4 ,122,2 ,2
1920,€ 550.000,4 ,120,2 ,4
1921,€ 409.000,4 ,145,2 ,1
1922,€ 595.000,4 ,125,2 ,1
1923,€ 980.000,4 ,200,3+ ,4
1924,€ 245.000,4 ,157,3 ,1
1925,€ 630.000,3 ,106,1 ,7
1926,€ 535.000,4 ,150,1 ,3
1927,€ 390.000,2 ,65,1 ,4
1928,€ 489.000,4 ,100,1 ,1
1930,€ 760.000,4 ,153,1 ,1
1931,€ 520.000,4 ,100,2 ,Piano terra
1932,€ 289.000,3 ,82,2 ,3
1933,€ 300.000,2 ,72,1 ,2
1934,€ 195.000,4 ,110,1 ,Ultimo
1935,€ 169.000,2 ,43,1 ,4
1937,€ 295.000,3 ,76,1 ,1
1938,€ 175.000,2 ,50,1 ,Piano terra
1939,€ 259.000,3 ,98,1 ,2
1940,€ 165.000,2 ,60,1 ,Piano terra
1942,€ 550.000,5 ,150,2 ,1
1943,€ 580.000,5 ,150,2 ,3
1946,€ 490.000,5 ,144,2 ,Ultimo
1947,€ 445.000,3 ,100,1 ,4
1948,€ 1.700.000,4 ,155,2 ,4
1950,€ 129.000,2 ,64,1 ,1
1952,€ 675.000,5 ,150,2 ,4
1953,€ 379.000,3 ,91,2 ,2
1954,€ 270.000,3 ,85,1 ,2
1955,€ 365.000,3 ,90,1 ,4
1956,€ 290.000,2 ,75,1 ,5
1957,€ 459.000,4 ,180,3 ,2
1958,€ 530.000,5+ ,120,2 ,4
1959,€ 260.000,2 ,60,1 ,4
1960,€ 230.000,2 ,75,1 ,Ultimo
1961,€ 890.000,5+ ,204,3+ ,4
1962,€ 149.000,3 ,70,1 ,Piano terra
1963,€ 149.000,2 ,61,1 ,1
1964,€ 238.000,3 ,75,1 ,3
1965,€ 310.000,2 ,65,1 ,6
1966,€ 149.000,2 ,65,1 ,Piano terra
1967,€ 320.000,3 ,76,2 ,Piano terra
1968,€ 479.000,5 ,164,2 ,3
1969,€ 160.000,3 ,65,1 ,Piano rialzato
1970,€ 155.000,3 ,90,1 ,3
1971,€ 900.000,5+ ,191,3 ,Piano terra
1972,€ 229.000,3 ,101,2 ,5
1973,€ 439.000,4 ,110,1 ,5
1974,€ 215.000,3 ,82,1 ,Piano rialzato
1975,€ 399.000,5 ,130,2 ,1
1976,€ 845.000,5+ ,223,3 ,2
1978,€ 435.000,3 ,101,2 ,Piano terra
1979,€ 220.000,4 ,100,1 ,Seminterrato
1981,€ 310.000,2 ,65,1 ,6
1982,€ 179.000,3 ,70,1 ,Piano terra
1983,€ 85.000,2 ,40,1 ,2
1984,€ 175.000,3 ,90,1 ,1
1985,€ 149.000,3 ,55,1 ,1
1986,€ 295.000,3 ,75,1 ,2
1987,€ 579.000,4 ,184,3 ,2
1988,€ 449.000,5+ ,160,2 ,2
1989,€ 780.000,5 ,205,3 ,2
1990,€ 460.000,3 ,91,2 ,6
1991,€ 880.000,4 ,150,3 ,3
1992,€ 598.000,4 ,112,1 ,2
1994,€ 188.000,2 ,60,1 ,5
1995,€ 360.000,3 ,90,2 ,6
1996,€ 300.000,3 ,92,1 ,Piano terra
1997,€ 770.000,5 ,185,2 ,Ultimo
1998,€ 675.000,5 ,217,3 ,Ultimo
1999,€ 290.000,2 ,40,1 ,Piano terra
2000,€ 459.000,5 ,170,3 ,2
2001,€ 179.000,2 ,68,1 ,2
2002,€ 620.000,4 ,155,2 ,Ultimo
2003,€ 199.000,2 ,80,1 ,3
2004,€ 210.000,3 ,78,1 ,1
2005,€ 650.000,5+ ,132,3+ ,1
2006,€ 470.000,3 ,71,1 ,3
2007,€ 419.000,3 ,87,1 ,Ultimo
2009,€ 139.000,2 ,60,1 ,1
2010,€ 429.000,5 ,130,2 ,Piano terra
2011,€ 850.000,4 ,160,2 ,2
2012,€ 89.000,2 ,45,1 ,2
2013,€ 120.000,2 ,50,1 ,3
2014,€ 160.000,4 ,85,1 ,3
2016,€ 79.000,2 ,45,1 ,1
2017,€ 245.000,3 ,85,1 ,Piano terra
2019,€ 240.000,3 ,93,2 ,2
2021,€ 435.000,4 ,145,2 ,Ultimo
2022,€ 245.000,3 ,70,2 ,Piano terra
2023,€ 300.000,4 ,113,1 ,1
2024,€ 165.000,2 ,50,1 ,4
2025,€ 515.000,3 ,111,2 ,2
2026,€ 144.000,2 ,40,1 ,1
2027,€ 249.000,3 ,77,1 ,3
2028,€ 160.000,1 ,45,1 ,Seminterrato
2029,€ 275.000,3 ,98,2 ,1
2030,€ 99.000,2 ,60,1 ,3
2031,€ 690.000,5+ ,210,3 ,2
2032,€ 159.000,2 ,55,1 ,3
2033,€ 315.000,3 ,96,2 ,1
2034,€ 480.000,4 ,101,3 ,Piano rialzato
2035,€ 425.000,4 ,120,2 ,1
2036,€ 810.000,4 ,120,2 ,5
2037,€ 405.000,3 ,94,1 ,5
2038,€ 780.000,4 ,140,2 ,1
2039,€ 279.000,3 ,100,2 ,2
2040,€ 430.000,3 ,90,1 ,5
2041,€ 95.000,2 ,50,1 ,3
2042,€ 147.000,3 ,60,1 ,1
2044,€ 1.590.000,5+ ,461,3+ ,Ultimo
2045,€ 280.000,3 ,105,1 ,1
2046,€ 229.000,2 ,65,1 ,2
2047,€ 65.000,2 ,38,1 ,Piano terra
2048,€ 599.000,4 ,162,3 ,5
2049,€ 219.000,3 ,90,1 ,1
2050,€ 189.000,2 ,68,1 ,Piano terra
2051,€ 519.000,5 ,135,2 ,4
2054,€ 549.000,5+ ,175,2 ,3
2055,€ 330.000,2 ,80,1 ,1
2056,€ 275.000,3 ,87,1 ,3
2057,€ 245.000,3 ,89,2 ,Piano rialzato
2058,€ 465.000,4 ,154,2 ,2
2059,€ 479.000,3 ,116,2 ,4
2060,€ 309.000,3 ,90,1 ,4
2061,€ 299.000,2 ,74,1 ,1
2062,€ 209.000,3 ,84,1 ,4
2064,€ 495.000,4 ,98,2 ,Ultimo
2065,€ 525.000,5 ,140,2 ,4
2066,€ 268.000,4 ,110,1 ,5
2067,€ 1.290.000,5 ,220,3 ,4
2069,€ 339.000,3 ,82,1 ,5
2070,€ 540.000,3 ,112,2 ,2
2071,€ 360.000,5 ,135,2 ,2
2072,€ 398.000,5 ,90,2 ,Piano rialzato
2073,€ 920.000,5+ ,185,3 ,Ultimo
2074,€ 385.000,4 ,110,2 ,Piano terra
2075,€ 200.000,2 ,65,1 ,Ultimo
2076,€ 1.240.000,5+ ,260,3 ,4
2077,€ 730.000,4 ,170,2 ,2
2078,€ 269.000,3 ,100,1 ,2
2079,€ 279.000,3 ,81,2 ,2
2080,€ 129.000,2 ,40,1 ,Piano terra
2081,€ 245.000,2 ,66,1 ,6
2082,€ 1.590.000,5+ ,200,2 ,Ultimo
2083,€ 155.000,3 ,75,1 ,4
2084,€ 265.000,3 ,80,1 ,3
2085,€ 890.000,5 ,140,2 ,3
2086,€ 1.000.000,5 ,220,2 ,5
2087,€ 309.000,3 ,85,1 ,1
2088,€ 379.000,4 ,115,2 ,Piano terra
2089,€ 210.000,2 ,70,1 ,2
2090,€ 299.000,3 ,74,2 ,Ultimo
2091,€ 279.000,3 ,124,2 ,5
2092,€ 580.000,3 ,105,2 ,2
2093,€ 219.000,3 ,77,1 ,2
2094,€ 226.000,3 ,85,1 ,4
2095,€ 250.000,2 ,71,1 ,4
2096,€ 319.000,3 ,123,2 ,Ultimo
2097,€ 299.000,2 ,70,1 ,4
2098,€ 99.000,2 ,45,1 ,6
2099,€ 329.000,3 ,95,1 ,1
2100,€ 145.000,2 ,50,1 ,Piano terra
2101,€ 199.000,3 ,90,2 ,1
2102,€ 345.000,4 ,110,2 ,1
2103,€ 450.000,4 ,117,2 ,3
2104,€ 1.450.000,4 ,176,2 ,1
2105,€ 520.000,3 ,100,1 ,4
2106,€ 429.000,5 ,130,2 ,Piano terra
2107,€ 649.000,5+ ,173,2 ,2
2108,€ 470.000,4 ,130,2 ,2
2109,€ 600.000,5+ ,195,3 ,4
2110,€ 139.000,2 ,55,1 ,1
2111,€ 300.000,2 ,60,1 ,1
2112,€ 430.000,5 ,145,2 ,1
2114,€ 1.250.000,5+ ,270,3+ ,Ultimo
2115,€ 255.000,3 ,110,2 ,3
2116,€ 590.000,5+ ,140,2 ,2
2117,€ 1.300.000,5+ ,246,3 ,2
2118,€ 235.000,2 ,65,1 ,Piano terra
2119,€ 1.050.000,5 ,176,3 ,1
2120,€ 265.000,3 ,84,1 ,2
2122,€ 265.000,2 ,70,1 ,Seminterrato
2123,€ 890.000,5 ,153,1 ,3
2124,€ 538.000,4 ,120,1 ,3
2125,€ 129.000,2 ,70,1 ,1
2126,€ 360.000,4 ,133,2 ,5
2127,€ 289.000,4 ,90,1 ,Piano rialzato
2128,€ 275.000,3 ,80,1 ,2
2129,€ 300.000,3 ,66,1 ,Piano terra
2130,€ 220.000,2 ,60,1 ,Ultimo
2131,€ 175.000,2 ,65,1 ,6
2132,€ 349.000,4 ,119,2 ,3
2133,€ 428.000,4 ,120,2 ,7
2134,€ 350.000,3 ,105,1 ,4
2135,€ 195.000,3 ,75,1 ,2
2136,€ 189.000,4 ,100,2 ,6
2137,€ 279.000,3 ,91,1 ,5
2138,€ 299.000,4 ,111,1 ,4
2140,€ 349.000,3 ,85,1 ,1
2141,€ 219.000,2 ,60,1 ,Piano terra
2142,€ 395.000,3 ,97,1 ,9
2143,€ 1.480.000,5+ ,265,3+ ,Ultimo
2144,€ 495.000,4 ,138,1 ,7
2145,€ 170.000,2 ,55,1 ,4
2146,€ 590.000,3 ,89,1 ,3
2147,€ 880.000,5 ,145,2 ,2
2149,€ 229.000,3 ,97,1 ,Piano rialzato
2150,€ 1.630.000,5+ ,250,3 ,3
2151,€ 450.000,4 ,115,2 ,1
2152,€ 1.390.000,5+ ,300,3+ ,Piano terra
2153,€ 115.000,2 ,46,1 ,Seminterrato
2154,€ 330.000,4 ,117,2 ,2
2155,€ 265.000,2 ,69,1 ,4
2156,€ 369.000,2 ,70,1 ,Ultimo
2157,€ 159.000,3 ,72,1 ,Piano terra
2158,€ 450.000,3 ,100,2 ,2
2159,€ 195.000,2 ,60,1 ,5
2160,€ 415.000,3 ,90,2 ,3
2161,€ 240.000,3 ,74,1 ,1
2162,€ 209.000,2 ,90,1 ,3
2163,€ 107.000,3 ,70,1 ,1
2164,€ 399.000,4 ,135,2 ,1
2165,€ 585.000,4 ,140,3+ ,Piano terra
2166,€ 565.000,5+ ,183,3 ,3
2168,€ 645.000,5+ ,190,2 ,Piano terra
2169,€ 288.000,3 ,65,1 ,6
2170,€ 1.190.000,4 ,140,3 ,3
2171,€ 350.000,2 ,70,2 ,Ultimo
2172,€ 219.000,3 ,90,1 ,1
2173,€ 525.000,5 ,125,2 ,2
2174,€ 590.000,3 ,115,2 ,3
2176,€ 720.000,5+ ,221,3 ,2
2177,€ 480.000,5+ ,140,3 ,1
2178,€ 220.000,3 ,70,1 ,3
2179,€ 158.000,3 ,65,2 ,1
2180,€ 250.000,2 ,57,1 ,5
2181,€ 260.000,2 ,60,1 ,1
2182,€ 549.000,5 ,141,2 ,3
2183,€ 520.000,4 ,130,1 ,Piano rialzato
2184,€ 255.000,2 ,55,1 ,7
2185,€ 155.000,3 ,78,1 ,2
2186,€ 210.000,2 ,62,1 ,2
2187,€ 350.000,2 ,70,2 ,2
2189,€ 185.000,2 ,40,1 ,Piano terra
2190,€ 378.000,3 ,82,2 ,6
2191,€ 175.000,3 ,98,1 ,1
2192,€ 740.000,5 ,164,2 ,4
2194,€ 330.000,3 ,111,1 ,9
2195,€ 180.000,3 ,70,1 ,Piano terra
2197,€ 1.170.000,5+ ,160,2 ,5
2198,€ 269.000,3 ,129,2 ,Ultimo
2201,€ 250.000,2 ,55,1 ,3
2203,€ 899.000,5+ ,243,3 ,2
2204,€ 745.000,5 ,140,3 ,3
2205,€ 215.000,3 ,75,1 ,1
2206,€ 209.000,4 ,100,2 ,1
2207,€ 399.000,4 ,135,2 ,1
2208,€ 329.000,4 ,100,2 ,1
2209,€ 279.000,5 ,123,2 ,1
2210,€ 329.000,3 ,95,2 ,1
2211,€ 1.190.000,5 ,140,1 ,5
2212,€ 139.000,3 ,95,1 ,Piano terra
2213,€ 480.000,3 ,110,2 ,4
2214,€ 355.000,3 ,103,1 ,1
2215,€ 320.000,3 ,95,1 ,Piano rialzato
2216,€ 530.000,3 ,90,2 ,2
2217,€ 2.000.000,5+ ,283,3 ,Ultimo
2218,€ 1.480.000,5+ ,250,3+ ,Ultimo
2219,€ 790.000,5+ ,235,3+ ,1
2220,€ 140.000,4 ,120,1 ,1
2222,€ 179.000,3 ,60,1 ,1
2223,€ 289.000,2 ,73,1 ,2
2224,€ 339.000,5 ,150,2 ,Piano terra
2225,€ 735.000,5+ ,200,3 ,6
2226,€ 265.000,3 ,120,1 ,1
2227,€ 195.000,5 ,148,2 ,3
2228,€ 189.000,3 ,86,1 ,2
2229,€ 530.000,5+ ,192,2 ,Ultimo
2230,€ 890.000,5+ ,288,2 ,Piano rialzato
2231,€ 410.000,4 ,135,2 ,3
2232,€ 1.280.000,3 ,100,2 ,4
2233,€ 165.000,3 ,70,1 ,2
2234,€ 190.000,1 ,36,1 ,Piano terra
2235,€ 398.000,3 ,95,1 ,Ultimo
2236,€ 400.000,3 ,100,1 ,5
2238,€ 379.000,4 ,172,2 ,1
2240,€ 264.000,2 ,70,1 ,1
2241,€ 159.000,2 ,57,1 ,2
2242,€ 183.000,2 ,45,1 ,5
2243,€ 639.000,3 ,100,2 ,Ultimo
2244,€ 265.000,3 ,100,2 ,1
2245,€ 475.000,5 ,150,3 ,2
2247,€ 180.000,4 ,75,1 ,4
2248,€ 248.000,2 ,64,1 ,4
2249,€ 219.000,3 ,38,1 ,Piano terra
2250,€ 375.000,3 ,80,1 ,2
2252,€ 469.000,4 ,135,2 ,4
2253,€ 419.000,3 ,100,1 ,3
2254,€ 1.700.000,5+ ,233,3+ ,4
2255,€ 259.000,3 ,90,1 ,Ultimo
2256,€ 790.000,5+ ,165,1 ,1
2257,€ 267.000,3 ,70,1 ,1
2259,€ 390.000,5 ,135,2 ,1
2260,€ 139.000,2 ,50,1 ,Piano terra
2261,€ 215.000,3 ,75,1 ,4
2262,€ 129.000,2 ,49,1 ,Piano terra
2263,€ 430.000,3 ,101,2 ,2
2264,€ 299.000,4 ,125,1 ,2
2265,€ 347.000,3 ,92,2 ,2
2266,€ 235.000,2 ,45,1 ,2
2268,€ 299.000,3 ,90,1 ,Piano rialzato
2269,€ 245.000,4 ,103,2 ,Ultimo
2270,€ 369.000,4 ,105,2 ,Piano terra
2271,€ 585.000,4 ,140,3 ,5
2272,€ 450.000,4 ,160,2 ,Piano terra
2273,€ 179.000,2 ,46,1 ,Piano terra
2274,€ 1.400.000,5+ ,250,1 ,1
2275,€ 590.000,4 ,118,2 ,5
2276,€ 390.000,3 ,110,2 ,3
2277,€ 395.000,4 ,120,2 ,2
2278,PREZZO SU RICHIESTA,5+ ,287,3 ,6
2279,€ 375.000,3 ,107,2 ,5
2280,€ 163.000,2 ,61,1 ,1
2281,€ 90.000,1 ,41,1 ,3
2282,€ 215.000,3 ,85,1 ,8
2283,€ 270.000,3 ,120,2 ,2
2284,€ 1.900.000,5+ ,220,3+ ,2
2285,€ 599.000,3 ,110,3 ,5
2286,€ 215.000,3 ,85,2 ,1
2287,€ 450.000,3 ,130,2 ,1
2288,€ 339.000,3 ,80,1 ,3
2291,€ 340.000,3 ,90,1 ,2
2293,€ 225.000,3 ,65,1 ,1
2294,€ 1.600.000,5+ ,350,3+ ,Piano terra
2295,€ 420.000,4 ,140,2 ,5
2296,€ 399.000,3 ,98,2 ,4
2297,€ 269.000,4 ,128,2 ,3
2298,€ 270.000,3 ,70,1 ,8
2299,€ 330.000,1 ,450,2 ,Seminterrato
2300,€ 225.000,3 ,79,2 ,2
2301,€ 499.000,4 ,146,2 ,Ultimo
2302,€ 299.000,5 ,115,1 ,2
2303,€ 285.000,3 ,85,1 ,1
2304,€ 489.000,5+ ,158,2 ,2
2305,€ 529.000,3 ,104,1 ,7
2306,€ 149.000,3 ,65,1 ,1
2307,€ 299.000,3 ,100,1 ,5
2308,€ 449.000,3 ,90,2 ,1
2309,€ 280.000,2 ,50,1 ,3
2310,€ 175.000,3 ,90,1 ,1
2311,€ 165.000,2 ,55,1 ,1
2313,€ 330.000,5+ ,160,2 ,5
2314,€ 429.000,4 ,142,2 ,Piano terra
2315,€ 590.000,5 ,130,2 ,2
2316,€ 549.000,4 ,145,2 ,1
2317,€ 299.000,3 ,102,1 ,1
2318,€ 459.000,4 ,160,2 ,2
2319,€ 325.000,3 ,90,1 ,1
2320,€ 279.000,4 ,125,1 ,Piano terra
2321,€ 469.000,3 ,101,2 ,2
2322,€ 275.000,4 ,130,2 ,2
2323,€ 395.000,5 ,146,3 ,1
2324,€ 229.000,3 ,90,1 ,3
2326,€ 650.000,5 ,165,2 ,3
2327,€ 115.000,2 ,53,1 ,2
2328,€ 225.000,2 ,75,1 ,Piano terra
2330,€ 575.000,4 ,125,2 ,Piano terra
2331,€ 439.000,4 ,100,2 ,3
2333,€ 375.000,3 ,87,1 ,2
2336,€ 450.000,5 ,135,2 ,4
2337,€ 340.000,3 ,115,1 ,Piano terra
2338,€ 550.000,3 ,110,1 ,Piano terra
2339,€ 360.000,3 ,80,1 ,2
2340,€ 695.000,4 ,120,2 ,3
2342,€ 245.000,2 ,56,1 ,2
2344,€ 169.000,2 ,45,1 ,3
2345,€ 149.000,2 ,70,1 ,4
2346,€ 390.000,4 ,150,2 ,Seminterrato
2347,€ 305.000,3 ,85,1 ,6
2348,€ 350.000,5 ,107,1 ,1
2349,€ 319.000,2 ,70,1 ,2
2350,€ 365.000,3 ,80,2 ,Ultimo
2351,€ 500.000,5+ ,145,2 ,2
2352,€ 139.000,2 ,55,1 ,1
2353,€ 289.000,3 ,110,1 ,Piano terra
2355,€ 199.000,3 ,100,2 ,Piano rialzato
2356,€ 207.000,2 ,58,1 ,Ultimo
2357,€ 278.000,3 ,80,2 ,Piano rialzato
2360,€ 1.100.000,5+ ,270,3+ ,Ultimo
2361,€ 235.000,5 ,130,2 ,2
2362,€ 429.000,4 ,95,1 ,3
2363,€ 395.000,3 ,107,1 ,1
2364,€ 590.000,4 ,130,2 ,Ultimo
2365,€ 280.000,2 ,45,1 ,Piano terra
2366,€ 475.000,4 ,110,2 ,7
2367,€ 169.000,3 ,63,1 ,Piano terra
2368,€ 249.000,3 ,90,1 ,Piano rialzato
2369,€ 950.000,5 ,175,2 ,2
2370,€ 295.000,4 ,120,2 ,2
2372,€ 980.000,4 ,150,3+ ,Ultimo
2375,€ 259.000,2 ,70,1 ,6
2376,€ 299.000,4 ,110,1 ,Piano terra
2378,€ 149.000,3 ,70,2 ,2
2379,€ 215.000,3 ,80,1 ,Ultimo
2380,€ 435.000,3 ,120,2 ,1
2381,€ 329.000,4 ,115,2 ,4
2382,€ 219.000,3 ,84,1 ,3
2383,€ 125.000,2 ,60,1 ,2
2384,€ 330.000,3 ,100,1 ,1
2385,€ 445.000,5 ,130,3 ,3
2386,€ 199.000,2 ,50,1 ,Piano terra
2387,€ 65.000,1 ,27,1 ,Piano terra
2388,€ 1.150.000,5+ ,269,2 ,5
2389,€ 300.000,4 ,120,2 ,1
2390,€ 245.000,3 ,98,2 ,Ultimo
2391,€ 299.000,4 ,120,2 ,5
2392,€ 125.000,3 ,106,1 ,Ultimo
2394,€ 520.000,4 ,120,2 ,3
2395,€ 145.000,2 ,45,1 ,Piano terra
2396,€ 430.000,3 ,100,2 ,Piano terra
2397,€ 255.000,3 ,110,1 ,1
2398,€ 440.000,5+ ,175,2 ,Piano rialzato
2399,€ 580.000,4 ,149,2 ,Ultimo
2400,€ 199.000,2 ,75,1 ,Ultimo
2401,€ 570.000,4 ,140,2 ,3
2403,€ 168.000,2 ,65,1 ,3
2404,€ 199.000,3 ,79,1 ,4
2405,€ 1.249.000,3 ,191,2 ,>10
2406,€ 189.000,3 ,70,1 ,1
2407,€ 650.000,4 ,150,2 ,3
2409,€ 125.000,3 ,70,1 ,1
2411,€ 235.000,2 ,62,1 ,1
2412,€ 380.000,3 ,70,1 ,3
2413,€ 259.000,3 ,90,1 ,5
2414,€ 239.000,3 ,105,2 ,7
2415,€ 495.000,4 ,145,2 ,1
2416,€ 269.000,3 ,90,1 ,1
2417,€ 529.000,2 ,70,1 ,1
2418,€ 219.000,2 ,71,1 ,2
2420,€ 235.000,2 ,72,1 ,3
2422,€ 270.000,4 ,130,1 ,Piano rialzato
2423,€ 1.080.000,5+ ,218,3 ,1
2424,€ 290.000,5 ,132,2 ,3
2426,€ 239.000,3 ,90,1 ,6
2427,€ 269.000,2 ,70,1 ,3
2428,€ 225.000,3 ,55,1 ,3
2429,€ 239.000,2 ,60,1 ,3
2430,€ 299.000,3 ,100,1 ,1
2433,€ 1.100.000,5 ,150,2 ,3
2434,€ 449.000,5 ,110,2 ,4
2437,€ 159.000,2 ,60,2 ,2
2439,€ 209.000,2 ,55,1 ,Piano terra
2440,€ 122.000,1 ,35,1 ,2
2441,€ 340.000,3 ,103,1 ,1
2442,€ 140.000,4 ,100,2 ,1
2443,€ 299.000,5 ,135,2 ,3
2444,€ 379.000,4 ,120,2 ,3
2446,€ 645.000,4 ,154,2 ,Piano terra
2449,€ 359.000,3 ,110,1 ,1
2451,€ 246.375,4 ,109,1 ,4
2453,€ 175.000,2 ,50,1 ,Piano terra
2454,€ 169.000,1 ,44,1 ,Piano terra
2457,€ 329.000,3 ,90,1 ,5
2458,€ 815.000,3 ,108,2 ,Ultimo
2459,€ 193.000,3 ,85,1 ,3
2460,€ 470.000,4 ,130,2 ,3
2461,€ 355.000,3 ,95,2 ,4
2462,€ 115.000,2 ,65,1 ,Piano terra
2464,€ 139.000,2 ,50,1 ,1
2465,€ 159.000,2 ,50,1 ,3
2466,€ 260.000,2 ,80,2 ,1
2467,€ 215.000,2 ,65,1 ,5
2468,€ 389.000,4 ,140,2 ,1
2469,€ 125.000,2 ,57,1 ,3
2470,€ 750.000,5 ,136,3 ,2
2471,€ 261.000,3 ,65,1 ,Piano terra
2472,€ 820.000,5+ ,185,3 ,4
2473,€ 280.000,2 ,60,1 ,Ultimo
2475,€ 219.000,3 ,109,1 ,1
2476,€ 370.000,5 ,87,1 ,2
2477,€ 155.000,1 ,45,1 ,5
2478,€ 480.000,3 ,82,2 ,1
2479,€ 435.000,3 ,84,2 ,1
2480,€ 845.000,4 ,138,3 ,1
2481,€ 195.000,2 ,65,1 ,Piano rialzato
2482,€ 240.000,4 ,105,2 ,3
2483,€ 495.000,5 ,150,2 ,6
2484,€ 550.000,4 ,110,2 ,Ultimo
2485,€ 265.000,2 ,60,1 ,Piano terra
2486,€ 980.000,5+ ,180,2 ,5
2487,€ 650.000,4 ,185,3 ,Ultimo
2488,€ 375.000,3 ,130,2 ,Piano terra
2489,€ 169.000,3 ,70,1 ,1
2490,€ 1.020.000,4 ,101,1 ,4
2491,€ 1.280.000,5 ,160,2 ,2
2492,€ 289.000,3 ,80,1 ,4
2493,€ 445.000,4 ,140,2 ,2
2494,€ 480.000,4 ,130,2 ,3
2495,€ 950.000,5+ ,210,3 ,2
